Individual,Species,Disp,Dispyr,Dispsex,Tag Code,Spawner Id,Spawner Lg (Mm),Spawner Wt (G),Rearing,Prepittag/Pittag Date,Fieldidtype,Fieldid,Rear,Pit Length,Pit Weight,Prepit Pool,Postpit Pool,Group,Individual At Pit-Tagging,Pool,Comment,Mortality Date,Mortality Length,Mortality Weight,Mortality Id,Mortalitysex,Comment,4/21/16 Length,4/21/16 Weight,Pool,Vaccinated 4/21/16,9/29/16 Length,9/29/16 Weight,9/29/16 Pool,1/12/17 Length,1/12/17 Weight,1/12/17 Pool,3yo Maturity Sorta Date,3yo Maturity Sorta Length,3yo Maturity Sorta Weight,3yo Maturity Sorta Sex,3yo Maturity Sorta Pool,3yo Maturity Sorta Tote,3yo Maturity Sorta Note,3yo Maturity Sortb Date,3yo Maturity Sortb Length,3yo Maturity Sortb Weight,3yo Maturity Sortb Sex,3yo Maturity Sortb Pool,3yo Maturity Sortb Tote,3yo Maturity Sortb Note,4yo Maturity Sorta Date,4yo Maturity Sorta Length,4yo Maturity Sorta Weight,4yo Maturity Sorta Sex,4yo Maturity Sorta Pool,4yo Maturity Sorta Tote,4yo Maturity Sorta Comment,4yo Maturity Sortb Date,4yo Maturity Sortb Sex,4yo Maturity Sortb Tote,Record Number,Accessed Date,Source Url,Preferred Citation
OneNOAA14BCB_0130,15,3yo Spawner,2017,female,3DD.00778020B2,F135,454,1106,SW,2016-02-24 00:00:00,Cell#,0130,H,195,82.7,4.0,5.0,B,0130,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,445,1153,female,27,aft2,,,,,,,,,,,,,,,,,,,Row 21 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0131,15,3yo Spawner,2017,female,3DD.0077818C7E,F113,476,1221,sw,2016-02-24 00:00:00,Cell#,0131,H,195,91.2,4.0,5.0,B,0131,,,,,,,,,,,,,313,388,27,,,,2017-06-29 00:00:00,464,1304,female,27,mid,,,,,,,,,,,,,,,,,,,Row 22 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0132,15,MORT,2016,,3DD.0077817EC0,,,,SW,2016-02-24 00:00:00,Cell#,0132,H,165,48.8,4.0,5.0,B,0132,,,2016-09-25 00:00:00,290,286,27-1,MALE,"IMM, JUMPER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row 23 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0133,15,3yo SPAWNER,2017,female,3DD.00778D8A12,F4,479,1213,SW,2016-02-24 00:00:00,Cell#,0133,H,185,73.8,4.0,5.0,B,0133,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,461,1252,female,27,fore,,,,,,,,,,,,,,,,,,,Row 24 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0134,15,3yo Spawner,2017,female,3DD.00778163FE,F60,475,1238,SW,2016-02-24 00:00:00,Cell#,0134,H,203,101.3,4.0,5.0,B,0134,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,461,1246,female,27,aft,,,,,,,,,,,,,,,,,,,Row 25 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0135,15,3yo Redfish Lake Release,2017,male,3DD.0077811B7D,,,,SW,2016-02-24 00:00:00,Cell#,0135,H,204,106.6,4.0,5.0,B,0135,,,,,,,,,234,160,5,y,336,533,27,,,,2017-06-29 00:00:00,476,1545,male,27,fore,,,,,,,,,,,,,,,,,,,Row 26 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0136,15,3yo SPAWNER,2017,female,3DD.00778059D9,F37,486,1382,SW,2016-02-24 00:00:00,Cell#,0136,H,197,92.8,4.0,5.0,B,0136,,,,,,,,,,,,,324,440,27,,,,2017-06-29 00:00:00,473,1409,female,27,aft2,,,,,,,,,,,,,,,,,,,Row 27 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0137,15,3yo Spawner,2017,MALE,3DD.007780EF17,,473,1293,SW,2016-02-24 00:00:00,Cell#,0137,H,190,81.6,4.0,5.0,B,0137,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,449,1244,male,27,aft,,,,,,,,,,,,,,,,,,,Row 28 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0138,15,3yo Spawner,2017,female,3DD.0077814EE3,F101,480,1305,SW,2016-02-24 00:00:00,Cell#,0138,H,190,85.7,4.0,5.0,B,0138,,,,,,,,,223,138,5,y,,,,,,,2017-06-29 00:00:00,466,1428,female,27,mid,,,,,,,,,,,,,,,,,,,Row 29 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0139,15,3yo Redfish Lake Release,2017,female,3DD.0077808657,2ND RELEASE,,,SW,2016-02-24 00:00:00,Cell#,0139,H,204,98,4.0,5.0,B,0139,,,,,,,,,,,,,336,486,27,,,,2017-06-29 00:00:00,484,1471,female,27,mid2,,,,,,,,,,,,,,,,,,,Row 30 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0140,15,mort,2018,,3DD.007780CF44,,,,SW,2016-02-24 00:00:00,Cell#,0140,H,200,94.6,4.0,5.0,B,0140,,,2018-09-06 00:00:00,537,1308,9-2,male,"mg, scol cull",,,,,,,,,,,2017-06-29 00:00:00,459,1237,imm,27,27,,,,,,,,,2018-07-05 00:00:00,555,1959,male,6,9,"little scol, BCH 2nd year",,,,Row 31 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0141,15,3yo Redfish Lake Release,2017,MALE,3DD.00778D7CB6,2ND RELEASE,,,SW,2016-02-24 00:00:00,Cell#,0141,H,190,83.1,4.0,5.0,B,0141,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,434,1173,male,27,mid2,,,,,,,,,,,,,,,,,,,Row 32 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0142,15,3yo Redfish Lake Release,2017,female,3DD.007780E28E,2ND RELEASE,,,SW,2016-02-24 00:00:00,Cell#,0142,H,193,86.4,4.0,5.0,B,0142,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,467,1481,female,27,mid,,,,,,,,,,,,,,,,,,,Row 33 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
