Name,Index,Latest Price,Previous Close,Low,High,Change,% Change,Datetime,3 Mo. Change,3 Mo. % Change,6 Mo. Change,6 Mo. % Change,1 Year Change,1 Year % Change
Sealed Air,S&P 500,46.92,46.61,46.6,47.24,0.31,0.67%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-8.28,-15.20%,0.24,0.52%,-21.06,-31.31%
Sempra Energy,S&P 500,153.97,153.02,152.91,154.1,0.95,0.62%,01:16 PM04/17/2023 01:16:21 PM UTC-0400,-6.83,-4.25%,10.95,7.66%,-16.45,-9.65%
ServiceNow,S&P 500,470.05,462.81,464.41,471.69,7.24,1.56%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,56.5,13.61%,109.64,30.30%,-54.5,-10.36%
Sherwin-Williams,S&P 500,229.98,225.67,226.37,230,4.31,1.91%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-20.24,-8.23%,20.15,9.80%,-32.6,-12.62%
Simon Property Group,S&P 500,109.56,107.52,107.92,109.79,2.04,1.90%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,-16.08,-12.80%,13.66,14.25%,-18.07,-14.16%
Skyworks Solutions,S&P 500,110.05,110.08,109.21,110.5,-0.03,-0.03%,01:16 PM04/17/2023 01:16:25 PM UTC-0400,6.28,6.18%,24.09,28.75%,-14.48,-11.83%
Snap-On,S&P 500,239.59,239.87,239.46,242.31,-0.28,-0.12%,01:13 PM04/17/2023 01:13:41 PM UTC-0400,-10.84,-4.35%,25.57,12.04%,27.48,13.05%
Southern,S&P 500,71.99,71.94,71.91,72.48,0.06,0.08%,01:16 PM04/17/2023 01:16:10 PM UTC-0400,1.81,2.57%,8.1,12.64%,-3.23,-4.29%
Southwest Airlines,S&P 500,32.18,31.67,31.69,32.3,0.51,1.61%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-4.74,-12.81%,-0.16,-0.49%,-13.8,-29.97%
Stanley Black & Decker,S&P 500,79.42,79.41,78.74,79.97,0.01,0.01%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-10.81,-12.16%,1.01,1.31%,-63.39,-44.80%
Starbucks,S&P 500,107.83,107.47,107.68,108.65,0.36,0.33%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-1.63,-1.52%,16.23,18.16%,24.68,30.50%
State Street,S&P 500,71.28,80.01,65.62,71.34,-8.73,-10.91%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,-4.77,-5.75%,14.71,23.17%,-4.67,-5.64%
STERIS,S&P 500,187.25,186.5,186.44,188.06,0.75,0.40%,01:16 PM04/17/2023 01:16:11 PM UTC-0400,-8.58,-4.24%,24.08,14.21%,-55.78,-22.37%
Stryker,S&P 500,291.06,291.83,290.09,293.13,-0.77,-0.26%,01:15 PM04/17/2023 01:15:35 PM UTC-0400,30.41,11.71%,76.12,35.56%,26.57,10.08%
Synchrony Financial,S&P 500,29.67,29.8,29.07,29.84,-0.14,-0.45%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-3.93,-11.74%,-2.85,-8.78%,-7.95,-21.21%
Synopsys,S&P 500,377.84,381.68,376.47,382.48,-3.84,-1.01%,01:15 PM04/17/2023 01:15:56 PM UTC-0400,43.55,13.08%,89.09,31.00%,69.8,22.76%
Sysco,S&P 500,74.79,73.48,73.8,74.98,1.31,1.78%,01:16 PM04/17/2023 01:16:08 PM UTC-0400,-5.52,-6.87%,0.36,0.48%,-11.87,-13.69%
T. Rowe Price Group,S&P 500,112.86,113.27,112.41,114.1,-0.42,-0.37%,01:15 PM04/17/2023 01:15:35 PM UTC-0400,-8.1,-6.83%,8.45,8.29%,-33.17,-23.10%
Take Two,S&P 500,124.1,123.07,122.63,124.16,1.03,0.84%,01:16 PM04/17/2023 01:16:00 PM UTC-0400,14.65,13.95%,0.82,0.69%,-19.31,-13.89%
Tapestry,S&P 500,41.39,42.14,41.25,42.15,-0.75,-1.77%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,-2.1,-4.83%,10.19,32.78%,6.85,19.90%
Target,S&P 500,162.78,160.99,161.24,162.81,1.79,1.11%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-1.01,-0.61%,9.55,6.20%,-70.22,-30.03%
TE Connectivity,S&P 500,125.96,125.94,125.41,126.85,0.02,0.01%,01:14 PM04/17/2023 01:14:11 PM UTC-0400,1.13,0.91%,13.93,12.50%,1.18,0.95%
Teledyne Technologies,S&P 500,437.73,439.79,437.36,443.04,-2.06,-0.47%,01:15 PM04/17/2023 01:15:54 PM UTC-0400,23.11,5.55%,98.05,28.73%,-40.78,-8.49%
Teleflex,S&P 500,259.19,263.95,258.02,263.26,-4.76,-1.80%,01:15 PM04/17/2023 01:15:50 PM UTC-0400,20.72,8.60%,68.41,35.42%,-76.58,-22.65%
Teradyne,S&P 500,96.77,100.75,95.79,97.84,-3.98,-3.95%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,4.04,4.15%,26.37,35.11%,-8.13,-7.42%
Tesla,S&P 500,185.31,185,182.7,189.69,0.31,0.17%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,58.14,47.50%,-41.18,-18.57%,-160.25,-47.02%
Texas Instruments,S&P 500,178.84,178.98,177.86,179.6,-0.14,-0.08%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-1.46,-0.82%,23.21,15.04%,2.44,1.39%
Textron,S&P 500,68.82,68.58,68.72,69.28,0.24,0.35%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,-2.6,-3.70%,5.97,9.68%,-1.51,-2.18%
The Kraft Heinz Company,S&P 500,39.33,39.1,39.1,39.4,0.23,0.58%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-3.14,-7.40%,3.5,9.78%,-2.72,-6.48%
Thermo Fisher Scientific,S&P 500,586.55,588.84,584.29,590.39,-2.29,-0.39%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-4.48,-0.77%,68.42,13.39%,2.4,0.42%
TJX Cos,S&P 500,77.29,77.18,76.98,77.61,0.11,0.14%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-4.82,-5.91%,11.53,17.69%,12.95,20.31%
T-Mobile US,S&P 500,149.72,149.59,149.67,150.37,0.13,0.09%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-0.17,-0.11%,16.43,12.35%,14.66,10.87%
Tractor Supply,S&P 500,239.22,237.95,238.65,240.45,1.27,0.53%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,11.55,5.22%,29.74,14.66%,-4.74,-2.00%
Trane Technologies,S&P 500,175.21,174.98,174.5,176.36,0.23,0.13%,01:16 PM04/17/2023 01:16:24 PM UTC-0400,-8.49,-4.63%,27.81,18.91%,25.88,17.37%
Grainger,S&P 500,656.36,651.04,652.78,660.03,5.32,0.82%,01:14 PM04/17/2023 01:14:29 PM UTC-0400,81.28,14.16%,136.58,26.34%,127.77,24.23%
TransDigm Group,S&P 500,751.96,751.8,750.07,757.67,0.16,0.02%,01:13 PM04/17/2023 01:13:48 PM UTC-0400,61.37,8.97%,223.59,42.85%,109.54,17.23%
Travelers,S&P 500,169.59,168.38,167.64,170.31,1.21,0.72%,01:16 PM04/17/2023 01:16:20 PM UTC-0400,-19.96,-10.30%,8.34,5.04%,-9.9,-5.39%
Trimble Navigation,S&P 500,48.44,48.93,48.4,48.9,-0.49,-1.00%,01:15 PM04/17/2023 01:15:49 PM UTC-0400,-5.4,-9.91%,-4.37,-8.17%,-20.26,-29.21%
Truist Financial Corporation,S&P 500,33.92,33.25,32.73,34.24,0.67,2.00%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-14.33,-30.13%,-10.85,-24.61%,-18.76,-36.08%
Tyler Technologies,S&P 500,362.5,364.36,361.59,365.93,-1.86,-0.51%,01:15 PM04/17/2023 01:15:03 PM UTC-0400,42.2,13.32%,34.53,10.64%,-59.22,-14.16%
Tyson Foods,S&P 500,61.25,60.81,60.9,61.68,0.44,0.72%,01:15 PM04/17/2023 01:15:54 PM UTC-0400,-3.38,-5.20%,-3.86,-5.90%,-32.92,-34.84%
U.S. Bancorp,S&P 500,35.2,34.98,33.95,35.41,0.22,0.63%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-11.92,-25.18%,-5.87,-14.22%,-15.23,-30.08%
UDR,S&P 500,40.59,40.24,40.16,40.87,0.36,0.88%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,0.26,0.66%,1.38,3.52%,-17.29,-29.97%
Ulta Beauty,S&P 500,532.87,534.66,531.68,538.88,-1.79,-0.33%,01:14 PM04/17/2023 01:14:58 PM UTC-0400,32.14,6.55%,124.24,31.15%,107.63,25.90%
Union Pacific,S&P 500,199.22,198.54,198.87,202.68,0.68,0.34%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-14.46,-6.78%,1.95,0.99%,-45.86,-18.75%
United Airlines Holdings,S&P 500,42.12,41.67,41.58,42.27,0.45,1.08%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-10.21,-19.77%,6.04,17.06%,-3.7,-8.20%
United Parcel Service,S&P 500,193.3,192.85,192.58,194.38,0.45,0.23%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,7.8,4.28%,26.3,16.08%,0.97,0.51%
United Rentals,S&P 500,382.82,378.06,378.6,384.36,4.76,1.26%,01:16 PM04/17/2023 01:16:18 PM UTC-0400,-16.39,-4.18%,92.5,32.64%,50.88,15.65%
UnitedHealth,S&P 500,503.52,511.22,503.02,509.34,-7.71,-1.51%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,31.82,6.50%,10.48,2.05%,-16.64,-3.09%
Universal Health Services,S&P 500,135.7,135.95,135.43,137.2,-0.25,-0.18%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-13.87,-9.38%,40.01,42.55%,-14.91,-10.01%
V.F,S&P 500,22.41,22.48,22.34,22.76,-0.07,-0.29%,01:16 PM04/17/2023 01:16:29 PM UTC-0400,-9.56,-30.69%,-7.59,-26.02%,-34.36,-61.42%
Valero Energy,S&P 500,128.15,131.85,127.61,130.7,-3.7,-2.81%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-2.39,-1.76%,12.87,10.65%,29.77,28.63%
Ventas,S&P 500,43.74,43.5,43.5,44.32,0.25,0.56%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-4.68,-9.55%,6.98,18.70%,-16.92,-27.64%
VeriSign,S&P 500,216.56,216.46,216.15,217.79,0.1,0.05%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-1.31,-0.61%,35.75,20.21%,-2.73,-1.27%
Verisk Analytic a,S&P 500,191.14,191.86,190.7,193.28,-0.72,-0.38%,01:16 PM04/17/2023 01:16:09 PM UTC-0400,8.22,4.47%,22.43,13.21%,-21.94,-10.25%
Verizon,S&P 500,39.3,39.21,39.14,39.46,0.09,0.23%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-2.64,-6.30%,2.81,7.72%,-14.94,-27.59%
Vertex Pharmaceuticals,S&P 500,328.49,333.52,327.51,335,-5.04,-1.51%,01:16 PM04/17/2023 01:16:11 PM UTC-0400,25.43,8.45%,29.83,10.06%,35.44,12.18%
Viatris,S&P 500,9.86,9.87,9.78,9.9,-0.02,-0.15%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-1.72,-14.90%,0.17,1.76%,-1.17,-10.65%
Visa,S&P 500,231.71,233.97,230.94,234.02,-2.26,-0.96%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,4.81,2.16%,43.23,23.42%,14.53,6.81%
Vulcan Materials,S&P 500,170.67,169.07,168.28,170.77,1.6,0.95%,01:15 PM04/17/2023 01:15:55 PM UTC-0400,-15.88,-8.67%,12.06,7.76%,-9.23,-5.23%
W. R. Berkley,S&P 500,61.88,61.48,61.13,62.19,0.4,0.65%,01:16 PM04/17/2023 01:16:08 PM UTC-0400,-10.52,-14.34%,-8.61,-12.05%,-5.52,-8.07%
Wabtec,S&P 500,99.9,99.71,99.83,100.6,0.19,0.19%,01:14 PM04/17/2023 01:14:17 PM UTC-0400,-4.49,-4.31%,14.02,16.38%,10.02,11.18%
