ori,aggravated-assault,violent-crime,robbery,arson,human-trafficing,rape-legacy,homicide,burglary,motor-vehicle-theft,larceny,rape,property-crime
CA0050000,123.0,146.0,5.0,0.0,0.0,0.0,0.0,209.0,13.0,335.0,18.0,557.0
CA0050100,9.0,12.0,2.0,0.0,0.0,0.0,0.0,28.0,18.0,79.0,1.0,125.0
CA0050200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA0050300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,10.0
CA0059900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,0.0,74.0
CA0060000,18.0,24.0,3.0,3.0,0.0,0.0,0.0,55.0,2.0,108.0,3.0,165.0
CA0060100,8.0,16.0,5.0,0.0,0.0,0.0,1.0,22.0,18.0,39.0,2.0,79.0
CA0060200,15.0,21.0,2.0,1.0,0.0,0.0,0.0,23.0,12.0,32.0,4.0,67.0
CA0060300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA0069900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,20.0
CA0070000,198.0,298.0,82.0,5.0,0.0,0.0,4.0,304.0,47.0,827.0,14.0,1178.0
