SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130,BRONX,10465,BRONX,NY,"2,618,080.00","2,379,123.00","238,957.00","1,914,800.00","1,658,700.00","129,000.00","89,700.00"
13365,13366,4085,NY-00130,BRONX,10466,BRONX,NY,"21,015.00","1,015.00","20,000.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10467,BRONX,NY,"62,460.00","55,575.00","6,885.00","36,200.00","29,300.00","6,900.00",0.00
13365,13366,4085,NY-00130,BRONX,10468,BRONX,NY,"1,668.00","1,668.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10469,BRONX,NY,"8,800.00",0.00,"8,800.00","77,300.00",0.00,"1,500.00","75,800.00"
13365,13366,4085,NY-00130,BRONX,10470,BRONX,NY,0.00,0.00,0.00,"26,500.00",0.00,0.00,"26,500.00"
13365,13366,4085,NY-00130,BRONX,10471,BRONX,NY,0.00,0.00,0.00,"319,200.00",0.00,0.00,"319,200.00"
13365,13366,4085,NY-00130,BRONX,10473,BRONX,NY,"364,036.00","348,316.00","15,720.00","4,600.00","4,600.00",0.00,0.00
13365,13366,4085,NY-00130,BRONX,10474,BRONX,NY,"196,062.00","151,146.00","44,916.00","192,000.00","149,200.00","42,800.00",0.00
13365,13366,4085,NY-00130,BRONX,10475,BRONX,NY,"225,167.00","13,912.00","211,255.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10471,COLUMBIA,NY,"46,126.00","46,126.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONXVILLE,10708,WESTCHESTER,NY,"2,500.00",0.00,"2,500.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKHAVEN,11719,SUFFOLK,NY,"23,063.00",0.00,"23,063.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLN,11221,KINGS,NY,"1,624.00","1,624.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLY,11214,KINGS,NY,"3,850.00",0.00,"3,850.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYM,11224,KINGS,NY,"77,862.00","30,106.00","47,756.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11236,GREENE,NY,"38,876.00","37,026.00","1,850.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,07732,KINGS,NY,"267,122.00","200,122.00","67,000.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,10038,KINGS,NY,"394,732.00","283,482.00","111,250.00","452,400.00","283,500.00","111,300.00","57,600.00"
13365,13366,4085,NY-00130,BROOKLYN,11201,KINGS,NY,"2,032,124.00","1,476,403.00","555,721.00","827,000.00","153,400.00","319,000.00","354,600.00"
13365,13366,4085,NY-00130,BROOKLYN,11203,KINGS,NY,"44,282.00","39,482.00","4,800.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11204,KINGS,NY,"605,401.00","199,739.00","405,662.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11205,KINGS,NY,"24,687,308.00","6,168,767.00","18,518,541.00","4,112,700.00",0.00,"3,306,400.00","689,600.00"
13365,13366,4085,NY-00130,BROOKLYN,11206,KINGS,NY,"142,840.00","102,720.00","40,120.00","360,000.00","102,800.00","33,800.00","223,400.00"
13365,13366,4085,NY-00130,BROOKLYN,11207,KINGS,NY,"353,715.00","350,790.00","2,925.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11208,KINGS,NY,"281,767.00","85,492.00","196,275.00","97,900.00","85,600.00","9,500.00","2,800.00"
13365,13366,4085,NY-00130,BROOKLYN,11209,KINGS,NY,"9,807,331.00",0.00,"9,807,331.00","270,900.00",0.00,0.00,"270,900.00"
13365,13366,4085,NY-00130,BROOKLYN,11210,KINGS,NY,"353,135.00","271,212.00","81,923.00","24,200.00",0.00,"24,200.00",0.00
13365,13366,4085,NY-00130,BROOKLYN,11211,KINGS,NY,"1,218,762.00","63,735.00","1,155,027.00","1,040,200.00",0.00,"790,200.00","250,000.00"
13365,13366,4085,NY-00130,BROOKLYN,11212,KINGS,NY,"110,080.00","70,385.00","39,695.00","14,000.00","14,000.00",0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11213,KINGS,NY,"125,511.00","101,761.00","23,750.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11214,KINGS,NY,"1,651,735.00","1,205,372.00","446,363.00","544,700.00","379,600.00","83,000.00","82,100.00"
13365,13366,4085,NY-00130,BROOKLYN,11215,KINGS,NY,"9,951,192.00","1,474,336.00","8,476,856.00","3,164,900.00","65,300.00","2,732,500.00","367,100.00"
13365,13366,4085,NY-00130,BROOKLYN,11216,KINGS,NY,"59,581.00","53,026.00","6,555.00","33,400.00","33,100.00",300.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11217,KINGS,NY,"3,927,338.00","338,498.00","3,588,840.00","488,700.00","98,300.00","258,500.00","131,900.00"
13365,13366,4085,NY-00130,BROOKLYN,11218,KINGS,NY,"76,949.00","76,949.00",0.00,"22,300.00",0.00,0.00,"22,300.00"
13365,13366,4085,NY-00130,BROOKLYN,11219,KINGS,NY,"119,701.00","42,471.00","77,230.00","123,500.00","42,500.00","49,600.00","31,400.00"
13365,13366,4085,NY-00130,BROOKLYN,11220,KINGS,NY,"417,982.00","210,990.00","206,992.00","51,800.00","14,700.00","37,100.00",0.00
13365,13366,4085,NY-00130,BROOKLYN,11221,KINGS,NY,"6,000.00",0.00,"6,000.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11222,KINGS,NY,"2,796,132.00","2,407,902.00","388,230.00","254,100.00","223,171.24","30,928.76",0.00
13365,13366,4085,NY-00130,BROOKLYN,11223,KINGS,NY,"1,456,657.00","694,563.00","762,094.00","1,959,100.00","447,000.00","500,200.00","1,011,900.00"
13365,13366,4085,NY-00130,BROOKLYN,11224,KINGS,NY,"51,577,359.00","30,331,809.00","21,245,550.00","15,007,600.00","6,497,100.00","7,773,400.00","737,100.00"
13365,13366,4085,NY-00130,BROOKLYN,11225,KINGS,NY,"8,852.00","5,452.00","3,400.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11226,KINGS,NY,"119,892.00","74,795.00","45,097.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11228,KINGS,NY,"657,736.00","318,350.00","339,386.00","341,200.00",0.00,"215,900.00","125,300.00"
13365,13366,4085,NY-00130,BROOKLYN,11229,KINGS,NY,"2,932,937.00","2,029,524.00","903,413.00","1,904,900.00","736,400.00","467,600.00","700,900.00"
13365,13366,4085,NY-00130,BROOKLYN,11230,KINGS,NY,"2,046,995.00","278,171.00","1,768,824.00","417,700.00",0.00,"339,500.00","78,200.00"
13365,13366,4085,NY-00130,BROOKLYN,11231,KINGS,NY,"26,080,073.00","5,100,949.00","20,979,124.00","10,808,900.00","1,013,000.00","8,551,700.00","1,244,200.00"
13365,13366,4085,NY-00130,BROOKLYN,11232,KINGS,NY,"8,600,311.00","1,492,488.00","7,107,823.00","3,957,000.00","235,200.00","3,033,800.00","688,000.00"
13365,13366,4085,NY-00130,BROOKLYN,11233,KINGS,NY,"358,366.00","193,731.00","164,635.00","7,800.00","4,600.00","3,200.00",0.00
13365,13366,4085,NY-00130,BROOKLYN,11234,KINGS,NY,"5,645,164.00","3,486,998.00","2,158,166.00","2,815,600.00","1,632,300.00","1,054,500.00","128,800.00"
13365,13366,4085,NY-00130,BROOKLYN,11235,KINGS,NY,"72,667,614.00","43,114,226.00","29,553,388.00","21,391,700.00","11,177,600.00","7,998,900.00","2,202,500.00"
13365,13366,4085,NY-00130,BROOKLYN,11236,KINGS,NY,"6,175,686.00","5,123,130.00","1,052,556.00","2,379,500.00","1,585,600.00","380,800.00","413,100.00"
13365,13366,4085,NY-00130,BROOKLYN,11237,KINGS,NY,"605,845.00","231,998.00","373,847.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11238,KINGS,NY,"108,493.00","18,272.00","90,221.00","191,000.00",0.00,"71,300.00","119,700.00"
13365,13366,4085,NY-00130,BROOKLYN,11239,KINGS,NY,0.00,0.00,0.00,"16,100.00",0.00,0.00,"16,100.00"
13365,13366,4085,NY-00130,BROOKLYN,11249,KINGS,NY,"17,868.00",0.00,"17,868.00","72,700.00",0.00,0.00,"72,700.00"
13365,13366,4085,NY-00130,BROOKLYN,11520,KINGS,NY,"46,931.00","20,141.00","26,790.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11235,NASSAU,NY,"6,465.00",0.00,"6,465.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11209,NEW YORK,NY,"53,145.00",0.00,"53,145.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11224,NEW YORK,NY,"129,339.00","7,714.00","121,625.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11229,NEW YORK,NY,"39,169.00","22,699.00","16,470.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11231,NEW YORK,NY,"99,830.00",0.00,"99,830.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11232,NEW YORK,NY,"228,039.00","50,554.00","177,485.00","245,500.00","24,500.00","177,500.00","43,500.00"
13365,13366,4085,NY-00130,BROOKLYN,11234,NEW YORK,NY,"162,200.00",0.00,"162,200.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11235,NEW YORK,NY,"607,353.00","326,678.00","280,675.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11236,NEW YORK,NY,"39,425.00","38,425.00","1,000.00","41,500.00","38,500.00","1,000.00","2,000.00"
13365,13366,4085,NY-00130,BROOKLYN,11767,NEW YORK,NY,"16,929.00","16,929.00",0.00,"6,000.00","6,000.00",0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11224,QUEENS,NY,"73,000.00",0.00,"73,000.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11231,QUEENS,NY,"338,060.00","288,090.00","49,970.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11205,RICHMOND,NY,"4,855,065.00","2,934,185.00","1,920,880.00","1,920,900.00",0.00,"1,920,900.00",0.00
13365,13366,4085,NY-00130,BROOKLYN,11209,RICHMOND,NY,"8,659.00",0.00,"8,659.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11223,RICHMOND,NY,"2,848.00",0.00,"2,848.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKLYN,11224,RICHMOND,NY,"201,537.00","192,437.00","9,100.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BROOKYLN,11235,KINGS,NY,"39,364.00","2,871.00","36,493.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CAMBRIA HEIGHTS,11411,QUEENS,NY,"186,293.00","186,293.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CARLE PLACE,11514,NASSAU,NY,"28,959.00",0.00,"28,959.00","29,000.00",0.00,"29,000.00",0.00
