,Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
79,04/13/2023 02:32 pm,04/13/2023 02:32 pm - 04/13/2023 02:34 pm,Kennedy Library,PROPERTY - Lost Property,,230463,
80,04/13/2023 02:32 pm,,Kennedy Library,PROPERTY - Lost Property,23-04-13-005069,230463,REPORT TAKEN
81,04/13/2023 02:29 pm,04/13/2023 02:29 pm,110 Grand Ave.,DOCUMENTATION - Bike Impound,,230462,
82,04/13/2023 02:29 pm,,110 Grand Ave.,DOCUMENTATION - Bike Impound,23-04-13-005066,230462,REPORT TAKEN
83,04/13/2023 02:28 pm,,Unknown On-campus,PROPERTY - Found Property report,23-04-13-005068,,HELD IN DISPATCH
84,04/13/2023 02:22 pm,,Pcv Foxen,ALARM - Fire Alarm,23-04-13-005065,,False/Cooking related
85,04/13/2023 01:53 pm,,Cal Poly Police Department,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005064,,REPORT TAKEN
86,04/13/2023 01:44 pm,04/13/2023 01:44 pm - 04/13/2023 01:46 pm,Vista Grande,DOCUMENTATION - Bike Impound,,230461,
87,04/13/2023 01:44 pm,,Vista Grande,DOCUMENTATION - Bike Impound,23-04-13-005061,230461,REPORT TAKEN
88,04/13/2023 01:13 pm,04/13/2023 12:00 pm - 04/14/2023 01:00 pm,Cal Poly Police Department,PROPERTY - Lost Property,,230467,Closed
89,04/13/2023 01:13 pm,,Cal Poly Police Department,PROPERTY - Lost Property,23-04-13-005058,230467,REPORT TAKEN
90,04/13/2023 12:26 pm,,Student Services Center Area,PARKING - Parking Violation,23-04-13-005057,,TURNED OVER TO
91,04/13/2023 12:21 pm,,Cal Poly Pier,ALARM - Audible Alarm,23-04-13-005056,,TURNED OVER TO
92,04/13/2023 11:34 am,,Village Drive Parking Structure,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005054,,CLEARED BY CITATION
93,04/13/2023 11:21 am,,William & Linda Frost Center For Research & Innovation,ALARM - Audible Alarm,23-04-13-005053,,CALLED PRIOR
94,04/13/2023 11:09 am,,Kennedy Library,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005052,230459,REPORT TAKEN
95,04/13/2023 09:51 am,,Cal Poly Police Department,CITIZEN ASSIST - Public Assist (specify),23-04-13-005049,,COMPLETED- NO REPORT
96,04/13/2023 09:17 am,,Grand Avenue,DOCUMENTATION - General Incident,23-04-13-005048,,COMPLETED- NO REPORT
97,04/13/2023 09:08 am,,Cerro Vista Housing,ALARM - Fire Alarm,23-04-13-005046,,CALLED PRIOR
98,04/13/2023 08:36 am,,Pcv Gypsum,ALARM - Fire Alarm,23-04-13-005044,,False/Cooking related
99,04/13/2023 03:24 am,,Frank E Pilling Computer Science,ALARM - Burglary Alarm,23-04-13-005035,,SECURE/UNKNOWN
100,04/13/2023 03:23 am,,Student Services Center,PATROL ACTIVITY - Vehicle Check,23-04-13-005034,,IN SERVICE
101,04/13/2023 02:45 am,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-13-005033,,IN SERVICE
102,04/13/2023 12:46 am,,Administration,ALARM - Burglary Alarm,23-04-13-005032,,CALLED PRIOR
103,04/12/2023 10:37 pm,,Yak?ityutyu - F,ALARM - Elevator Emergency/Alarm,23-04-12-005029,,COMPLETED- NO REPORT
104,04/12/2023 10:35 pm,,Construction Innovations Center Area,CITIZEN ASSIST - Check The Welfare,23-04-12-005028,,GONE ON ARRIVAL/UNABLE TO LOCATE
105,04/12/2023 09:50 pm,,Pcv Buena Vista,ALARM - Fire Alarm,23-04-12-005026,,False/Cooking related
106,04/12/2023 09:37 pm,,California Boulevard,VEHICLE - Vehicle Stop,23-04-12-005025,,DRIVER WARNED/ADVISED
107,04/12/2023 09:24 pm,,K-2 Parking Lot,VEHICLE - Vehicle Stop,23-04-12-005024,,CLEARED BY CITATION
108,04/12/2023 09:03 pm,,Kennedy Library,CITIZEN ASSIST - Escort,23-04-12-005022,,
109,04/12/2023 08:27 pm,04/12/2023 08:27 pm - 04/12/2023 08:47 pm,Mathematics And Science,SUICIDE - Suicidal Subject/Suicide,,230457,Closed
110,04/12/2023 08:27 pm,,Mathematics And Science,SUICIDE - Suicidal Subject/Suicide,23-04-12-005021,230457,REPORT TAKEN
111,04/12/2023 08:14 pm,,Cerro Vista  Islay,ALARM - Fire Alarm,23-04-12-005020,,False/Cooking related
112,04/12/2023 08:13 pm,,Frank E Pilling Computer Science,CITIZEN ASSIST - Escort,23-04-12-005019,,COMPLETED- NO REPORT
113,04/12/2023 07:59 pm,,Rodeo Arena,ALCOHOL - Alcohol Violation,23-04-12-005018,,COMPLETED- NO REPORT
114,04/12/2023 07:17 pm,,Performing Arts Center,ALARM - Fire Alarm,23-04-12-005014,,CALLED PRIOR
115,04/12/2023 07:15 pm,,Pcv Gypsum,ALARM - Fire Alarm,23-04-12-005013,,TURNED OVER TO HOUSING
116,04/12/2023 07:03 pm,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-005012,,IN SERVICE
117,04/12/2023 06:36 pm,04/12/2023 06:36 pm - 04/12/2023 07:03 pm,Rodeo Arena,DOCUMENTATION - General Incident,,230456,
118,04/12/2023 06:36 pm,,Rodeo Arena,TRESPASS - Trespassing,23-04-12-005010,230456,REPORT TAKEN
119,04/12/2023 06:12 pm,,Frank E Pilling Computer Science,ALARM - Fire Alarm,23-04-12-005008,,TURNED OVER TO FACILITY SVS
120,04/12/2023 05:55 pm,04/12/2023 05:55 pm - 04/12/2023 06:15 pm,Kennedy Library,MEDICAL - Medical Aid,,230455,Closed
121,04/12/2023 05:55 pm,,Kennedy Library,MEDICAL - Medical Aid,23-04-12-005007,230455,REPORT TAKEN
122,04/12/2023 05:22 pm,,Cerro Vista Circle,PARKING - Parking Violation,23-04-12-005006,,CLEARED BY CITATION
123,04/12/2023 02:15 pm,,Performing Arts Center,ALARM - Fire Alarm,23-04-12-004999,,CALLED PRIOR
124,04/12/2023 12:32 pm,,Old Science,FOLLOWUP - Followup,23-04-12-004995,,COMPLETED- NO REPORT
125,04/12/2023 12:19 pm,,Dexter Lawn,DISTURBANCE - Disturbing the Peace,23-04-12-004994,,UNFOUNDED
126,04/12/2023 12:18 pm,,Via Carta Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-12-004993,,UNFOUNDED
127,04/12/2023 11:29 am,,,ADMINISTRATIVE - Personal,23-04-12-004990,,IN SERVICE
128,04/12/2023 11:19 am,,William & Linda Frost Center For Research & Innovation,CITIZEN ASSIST - Public Assist (specify),23-04-12-004989,,COMPLETED- NO REPORT
129,04/12/2023 10:53 am,,Cal Poly Pier,ALARM - Equipment Alarm,23-04-12-004988,,CALLED PRIOR
130,04/12/2023 10:36 am,,Crops Unit Area,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-12-004986,,COMPLETED- NO REPORT
131,04/12/2023 10:34 am,,H-11 Parking Lot,PARKING - Parking Violation,23-04-12-004984,,COMPLETED- NO REPORT
132,04/12/2023 09:28 am,,Pcv Estrella,ALARM - Fire Alarm,23-04-12-004981,,CALLED PRIOR
133,04/12/2023 09:06 am,04/11/2023 01:30 am - 04/11/2023 07:00 am,Walter F. Dexter Building,DOCUMENTATION - General Incident,,230452,Closed
134,04/12/2023 09:06 am,,Walter F. Dexter Building,DOCUMENTATION - General Incident,23-04-12-004980,230452,REPORT TAKEN
135,04/12/2023 06:01 am,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-004970,,IN SERVICE
136,04/12/2023 05:42 am,,Yak?ityutyu Area,PATROL ACTIVITY - Patrol Check,23-04-12-004969,,IN SERVICE
137,04/12/2023 03:36 am,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-12-004968,,IN SERVICE
138,04/12/2023 03:29 am,,Old Science,PATROL ACTIVITY - Foot Patrol,23-04-12-004967,,IN SERVICE
139,04/12/2023 02:59 am,,Pcv Estrella,ALARM - Fire Alarm,23-04-12-004966,,TURNED OVER TO HOUSING
140,04/12/2023 02:45 am,,Performing Arts Center,PATROL ACTIVITY - Foot Patrol,23-04-12-004965,,IN SERVICE
141,04/12/2023 02:08 am,,Center For Science,PROPERTY - Found Property report,23-04-12-004964,,TURNED OVER TO OWNER
142,04/12/2023 01:55 am,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-004963,,IN SERVICE
143,04/12/2023 01:44 am,,University Drive,VEHICLE - Vehicle Stop,23-04-12-004962,,DRIVER WARNED/ADVISED
144,04/11/2023 11:42 pm,,Yak?ityutyu - E,CITIZEN ASSIST - Public Assist (specify),23-04-11-004961,,COMPLETED- NO REPORT
145,04/11/2023 10:31 pm,04/11/2023 10:31 pm - 04/11/2023 10:57 pm,Grand Avenue Parking Structure,DOCUMENTATION - OSRR Referral,,230450,Closed
146,04/11/2023 10:31 pm,,Grand Avenue Parking Structure,PATROL ACTIVITY - Vehicle Check,23-04-11-004959,230450,REPORT TAKEN
147,04/11/2023 09:42 pm,,Oppenheimer Family Equine Center,PATROL ACTIVITY - Patrol Check,23-04-11-004958,,IN SERVICE
148,04/11/2023 09:33 pm,,Swine Unit,PATROL ACTIVITY - Patrol Check,23-04-11-004957,,IN SERVICE
149,04/11/2023 07:53 pm,,Pcv Huasna,ALARM - Fire Alarm,23-04-11-004954,,False/Cooking related
150,04/11/2023 07:52 pm,,California Boulevard,VEHICLE - Vehicle Stop,23-04-11-004953,,DRIVER WARNED/ADVISED
151,04/11/2023 07:42 pm,,C-7 Parking Lot,VEHICLE - Vehicle Stop,23-04-11-004952,,DRIVER WARNED/ADVISED
152,04/11/2023 07:27 pm,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-11-004948,,IN SERVICE
153,04/11/2023 05:43 pm,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-11-004943,,UNFOUNDED
154,04/11/2023 05:25 pm,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-11-004942,,UNFOUNDED
155,04/11/2023 04:17 pm,,Pcv Estrella,ALARM - Fire Alarm,23-04-11-004939,,TURNED OVER TO HOUSING
156,04/11/2023 04:14 pm,,,ALARM - Fire Alarm,23-04-11-004938,,Cancelled Event
157,04/11/2023 03:59 pm,,Fremont Hall,ALARM - Fire Alarm,23-04-11-004937,,TURNED OVER TO HOUSING
158,04/11/2023 01:25 pm,,Yak?ityutyu - H,PROPERTY - Found Property report,23-04-11-004932,,TURNED OVER TO OWNER
159,04/11/2023 01:14 pm,,Unknown On-campus,PROPERTY - Found Property report,23-04-11-004931,,TURNED OVER TO OWNER
160,04/11/2023 12:41 pm,,Health & Wellbeing Center,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-11-004930,,OTHER
161,04/11/2023 12:37 pm,,Sequoia Hall,CITIZEN ASSIST - Public Assist (specify),23-04-11-004929,,COMPLETED- NO REPORT
162,04/11/2023 12:08 pm,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-11-004928,,UNFOUNDED
163,04/11/2023 10:47 am,,Pcv Foxen,ALARM - Fire Alarm,23-04-11-004926,,False/Mechanical
164,04/11/2023 10:22 am,,Pcv Aliso,ALARM - Fire Alarm,23-04-11-004924,,False/Cooking related
165,04/11/2023 09:08 am,04/10/2023 12:00 am - 04/11/2023 09:00 am,Unknown On-campus,PROPERTY - Lost Property,,230448,Closed
166,04/11/2023 09:08 am,,Unknown On-campus,PROPERTY - Lost Property,23-04-11-004921,230448,REPORT TAKEN
167,04/11/2023 08:54 am,,Faculty Offices North,ALARM - Equipment Alarm,23-04-11-004920,,COMPLETED- NO REPORT
168,04/11/2023 08:34 am,,Yak?ityutyu - B,ALARM - Fire Alarm,23-04-11-004918,,False/Cooking related
169,04/11/2023 07:09 am,04/11/2023 07:09 am - 04/11/2023 07:22 am,Highland Drive,TRAFFIC COLLISION - Non Injury Traffic Collision,,230447,Closed
170,04/11/2023 07:09 am,,Highland Drive,TRAFFIC COLLISION - Non Injury Traffic Collision,23-04-11-004915,230447,REPORT TAKEN
171,04/11/2023 06:24 am,,Baseball Stadium,ALARM - Fire Alarm,23-04-11-004909,,TURNED OVER TO FACILITY SVS
172,04/11/2023 06:14 am,,Whitney Hall,ALARM - Fire Alarm,23-04-11-004907,,False/Mechanical
173,04/11/2023 06:06 am,,Muir Hall,ALARM - Fire Alarm,23-04-11-004906,,False/Steam
174,04/11/2023 04:08 am,,Engineering West,PATROL ACTIVITY - Foot Patrol,23-04-11-004905,,IN SERVICE
175,04/11/2023 03:53 am,,Education Building,PATROL ACTIVITY - Foot Patrol,23-04-11-004904,,IN SERVICE
176,04/11/2023 03:37 am,,Architecture & Environmental Design,PATROL ACTIVITY - Foot Patrol,23-04-11-004903,,IN SERVICE
177,04/11/2023 03:27 am,,Erhart Agricultural Scien,ALARM - Burglary Alarm,23-04-11-004902,,CALLED PRIOR
178,04/11/2023 01:33 am,,H14-a Parking Lot,PATROL ACTIVITY - Vehicle Check,23-04-11-004901,,SUBJECT(S) ADVISED/WARNED
179,04/11/2023 01:27 am,,Advanced Technology Lab,PATROL ACTIVITY - Patrol Check,23-04-11-004900,,COMPLETED- NO REPORT
180,04/11/2023 01:19 am,,Baseball Stadium,PATROL ACTIVITY - Vehicle Check,23-04-11-004899,,IN SERVICE
181,04/10/2023 11:29 pm,,Agricultural Sciences,ALARM - Burglary Alarm,23-04-10-004897,,TURNED OVER TO
182,04/10/2023 11:07 pm,,William & Linda Frost Center For Research & Innovation,ALARM - Fire Alarm,23-04-10-004896,,TURNED OVER TO FACILITY SVS
183,04/10/2023 10:54 pm,,Faculty Offices,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-10-004895,230446,REPORT TAKEN
184,04/10/2023 10:52 pm,,Sierra Madre Hall,PATROL ACTIVITY - Foot Patrol,23-04-10-004894,,IN SERVICE
185,04/10/2023 10:44 pm,,Animal Nutrition Center,PATROL ACTIVITY - Patrol Check,23-04-10-004893,,GONE ON ARRIVAL/UNABLE TO LOCATE
186,04/10/2023 10:43 pm,,Beef Cattle Evaluation Center,PATROL ACTIVITY - Patrol Check,23-04-10-004892,,GONE ON ARRIVAL/UNABLE TO LOCATE
187,04/10/2023 10:33 pm,,Eucalyptus House,PATROL ACTIVITY - Patrol Check,23-04-10-004891,,GONE ON ARRIVAL/UNABLE TO LOCATE
188,04/10/2023 10:18 pm,,Center For Science,PATROL ACTIVITY - Patrol Check,23-04-10-004890,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
189,04/10/2023 10:10 pm,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-04-10-004889,,False/Mechanical
190,04/10/2023 10:01 pm,,Albert B. Smith Alumni & Conference Center,PATROL ACTIVITY - Patrol Check,23-04-10-004888,,GONE ON ARRIVAL/UNABLE TO LOCATE
191,04/10/2023 09:54 pm,,Zone2 West Of California Blvd,PATROL ACTIVITY - Patrol Check,23-04-10-004887,,IN SERVICE
192,04/10/2023 09:48 pm,,Pcv Huasna,ALARM - Fire Alarm,23-04-10-004886,,TURNED OVER TO ENGINEERING SVS
193,04/10/2023 09:43 pm,,Simpson Strong-tie  Lab,PATROL ACTIVITY - Patrol Check,23-04-10-004885,,
194,04/10/2023 09:14 pm,,Cerro Vista Bishop,ALARM - Fire Alarm,23-04-10-004884,,TURNED OVER TO ENGINEERING SVS
195,04/10/2023 09:11 pm,,Engineering Plaza,CITIZEN ASSIST - Escort,23-04-10-004883,,COMPLETED- NO REPORT
196,04/10/2023 09:05 pm,,Poly Canyon Village,ALARM - Audible Alarm,23-04-10-004882,,False/Cooking related
197,04/10/2023 07:50 pm,,North Perimeter Road,VEHICLE - Vehicle Stop,23-04-10-004880,,DRIVER WARNED/ADVISED
198,04/10/2023 07:30 pm,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-10-004879,,IN SERVICE
199,04/10/2023 06:16 pm,,H2-b Parking Lot,PROPERTY - Found Property report,23-04-10-004871,,TURNED OVER TO
