,Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
943,03/17/2023 10:37 am,,Crops Unit Area,FOLLOWUP - Followup,23-03-17-003732,,IN SERVICE
944,03/17/2023 10:31 am,,Stenner Creek Road,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-17-003731,,GONE ON ARRIVAL/UNABLE TO LOCATE
945,03/17/2023 10:15 am,,Crops Unit Area,CITIZEN ASSIST - Public Assist (specify),23-03-17-003729,,IN SERVICE
946,03/17/2023 09:37 am,,Trinity Hall Area,CITIZEN ASSIST - Public Assist (specify),23-03-17-003728,,TURNED OVER TO TAPS
947,03/17/2023 09:14 am,03/17/2023 09:14 am - 03/17/2023 09:54 am,Off Campus - Highway 1 Orange Orchards,DOCUMENTATION - General Incident,,230343,Closed
948,03/17/2023 09:14 am,,Off Campus - Highway 1 Foothill,CITIZEN ASSIST - Public Assist (specify),23-03-17-003727,230343,REPORT TAKEN
949,03/17/2023 08:07 am,,Fremont Hall,ALARM - Fire Alarm,23-03-17-003726,,TURNED OVER TO FACILITY SVS
950,03/17/2023 07:59 am,,Muir Hall,ALARM - Fire Alarm,23-03-17-003725,,TURNED OVER TO FACILITY SVS
951,03/17/2023 06:31 am,,Children's Center (asi),ALARM - Burglary Alarm,23-03-17-003720,,TURNED OVER TO FACILITY SVS
952,03/17/2023 06:28 am,,Heron Hall,ALARM - Fire Alarm,23-03-17-003719,,SECURE/UNKNOWN
953,03/17/2023 03:31 am,,K-1 Parking Lot,PATROL ACTIVITY - Vehicle Check,23-03-17-003718,,IN SERVICE
954,03/17/2023 03:18 am,,Kennedy Library,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-17-003717,,GONE ON ARRIVAL/UNABLE TO LOCATE
955,03/17/2023 12:51 am,,Engineering South,ALARM - Equipment Alarm,23-03-17-003715,,TURNED OVER TO FACILITY SVS
956,03/17/2023 12:14 am,03/16/2023 11:00 pm - 03/17/2023 12:03 am,Santa Lucia Hall,VANDALISM - Vandalism - Less Than $400,,230342,Closed
957,03/17/2023 12:14 am,,Santa Lucia Hall,VANDALISM - Malicious Mischief report,23-03-17-003713,230342,REPORT TAKEN
958,03/17/2023 12:11 am,,Muir Hall,ALARM - Fire Alarm,23-03-17-003712,,TURNED OVER TO FACILITY SVS
959,03/17/2023 12:00 am,03/16/2023 07:00 pm - 03/16/2023 11:15 pm,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230341,Closed
960,03/17/2023 12:00 am,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-17-003711,230341,REPORT TAKEN
961,03/16/2023 11:20 pm,,Off Campus - Sr Park,ASSIST - Assist Other Agency,23-03-16-003710,,COMPLETED- NO REPORT
962,03/16/2023 11:07 pm,,Muir Hall,ALARM - Fire Alarm,23-03-16-003709,,SECURE/UNKNOWN
963,03/16/2023 11:03 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-16-003708,,False/Cooking related
964,03/16/2023 09:08 pm,,Pcv Estrella,ALARM - Fire Alarm,23-03-16-003707,,False/Cooking related
965,03/16/2023 09:01 pm,,Upper Soccer Field/sports Complex,PATROL ACTIVITY - Patrol Check,23-03-16-003706,,IN SERVICE
966,03/16/2023 08:43 pm,,Grand Avenue,TRAFFIC - BICYCLE STOP,23-03-16-003705,,DRIVER WARNED/ADVISED
967,03/16/2023 08:33 pm,,Fremont Hall,ALARM - Fire Alarm,23-03-16-003704,,SECURE/UNKNOWN
968,03/16/2023 08:12 pm,,Pcv Dover,ALARM - Fire Alarm,23-03-16-003701,,False/Cooking related
969,03/16/2023 07:56 pm,03/16/2023 07:56 pm - 03/16/2023 08:09 pm,Grand Avenue,TRAFFIC COLLISION - Injury Traffic Collision,,230340,Closed
970,03/16/2023 07:56 pm,,Grand Avenue,TRAFFIC COLLISION - Traffic Collision/Unknown Injury,23-03-16-003700,230340,REPORT TAKEN
971,03/16/2023 06:28 pm,,Yosemite Hall,PARKING - Parking Violation,23-03-16-003698,,CLEARED BY CITATION
972,03/16/2023 06:12 pm,,Yak?ityutyu - B,ALARM - Fire Alarm,23-03-16-003697,,False/Cooking related
973,03/16/2023 05:58 pm,,Mathematics And Science,ALARM - Fire Alarm,23-03-16-003693,,False/Mechanical
974,03/16/2023 05:12 pm,,Pcv Estrella,ALARM - Fire Alarm,23-03-16-003690,,False/Cooking related
975,03/16/2023 03:39 pm,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003689,,COMPLETED- NO REPORT
976,03/16/2023 03:04 pm,,Canyon Circle,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-16-003688,,COMPLETED- NO REPORT
977,03/16/2023 02:58 pm,,Children's Center (asi),ALARM - Burglary Alarm,23-03-16-003687,,CALLED PRIOR
978,03/16/2023 02:48 pm,,Zone2 West Of California Blvd,PATROL ACTIVITY,23-03-16-003686,,IN SERVICE
979,03/16/2023 02:06 pm,,Mathematics And Science,ALARM - Fire Alarm,23-03-16-003684,,False/Mechanical
980,03/16/2023 02:05 pm,,Lower Soccer Field/sports Complex,OTHER OFFENSE - Other Offense,23-03-16-003685,,COMPLETED- NO REPORT
981,03/16/2023 01:55 pm,,Off Campus - 126 Cerro Romauldo Ave,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003683,,COMPLETED- NO REPORT
982,03/16/2023 01:10 pm,02/16/2023 01:00 pm - 03/16/2023 01:00 pm,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230339,Closed
983,03/16/2023 12:58 pm,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-16-003680,230339,REPORT TAKEN
984,03/16/2023 12:55 pm,,Alex & Faye Spanos Theatre,ALARM - Fire Alarm,23-03-16-003679,,CALLED PRIOR
985,03/16/2023 12:51 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-16-003677,,CALLED PRIOR
986,03/16/2023 12:49 pm,,University Drive,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003676,,GONE ON ARRIVAL/UNABLE TO LOCATE
987,03/16/2023 12:44 pm,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-03-16-003675,,COMPLETED- NO REPORT
988,03/16/2023 12:34 pm,03/16/2023 12:34 pm - 03/16/2023 01:07 pm,Technology Park,MEDICAL - Medical Aid,,230337,Closed
989,03/16/2023 12:34 pm,,Technology Park,MEDICAL - Medical Aid,23-03-16-003674,230337,REPORT TAKEN
990,03/16/2023 12:04 pm,,Education Building,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003673,,UNFOUNDED
991,03/16/2023 11:58 am,,Fremont Hall,ALARM - Fire Alarm,23-03-16-003672,,TURNED OVER TO HOUSING
992,03/16/2023 11:19 am,,H2-a Parking Lot,PARKING - Parking Violation,23-03-16-003670,,TURNED OVER TO
993,03/16/2023 10:36 am,,Pcv Dover,ALARM - Fire Alarm,23-03-16-003668,,False/Cooking related
994,03/16/2023 10:20 am,,H-11 Parking Lot,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-16-003666,,COMPLETED- NO REPORT
995,03/16/2023 09:51 am,,Off Campus - 158 San Jose Ct.,MEDICAL - Medical Aid,23-03-16-003665,,TURNED OVER TO SLPD
996,03/16/2023 09:28 am,,Pcv Estrella,ALARM - Fire Alarm,23-03-16-003664,,CALLED PRIOR
997,03/16/2023 08:15 am,,Facility Services Warehouse,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-16-003660,,COMPLETED- NO REPORT
998,03/16/2023 05:10 am,,Orfalea Business Building,ALARM - Burglary Alarm,23-03-16-003652,,CALLED PRIOR
999,03/16/2023 03:07 am,,Yak?ityutyu Area,PATROL ACTIVITY - Patrol Check,23-03-16-003651,,IN SERVICE
1000,03/16/2023 01:43 am,,Poly Canyon Village Area,PATROL ACTIVITY - Patrol Check,23-03-16-003650,,IN SERVICE
1001,03/16/2023 12:31 am,,Administration,ALARM - Burglary Alarm,23-03-16-003648,,CALLED PRIOR
1002,03/16/2023 12:31 am,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-16-003649,,SECURE/UNKNOWN
1003,03/15/2023 11:19 pm,,Highland Drive,ANIMAL - Animal Call,23-03-15-003647,,GONE ON ARRIVAL/UNABLE TO LOCATE
1004,03/15/2023 10:53 pm,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-15-003645,,IN SERVICE
1005,03/15/2023 10:46 pm,,Recreation Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-15-003644,,UNFOUNDED
1006,03/15/2023 09:47 pm,,Campus Market,CITIZEN ASSIST - Escort,23-03-15-003642,,COMPLETED- NO REPORT
1007,03/15/2023 09:12 pm,,Feed Mill Walk,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-15-003640,,UNFOUNDED
1008,03/15/2023 09:11 pm,,Pcv Foxen,ALARM - Fire Alarm,23-03-15-003639,,False/Steam
1009,03/15/2023 08:54 pm,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003637,,IN SERVICE
1010,03/15/2023 07:47 pm,,Cerro Vista  Romauldo,ALARM - Fire Alarm,23-03-15-003635,,False/Vape
1011,03/15/2023 07:16 pm,,Health & Wellbeing Center,ALARM - Burglary Alarm,23-03-15-003633,,False/Human Error
1012,03/15/2023 06:22 pm,,Heron Hall,ALARM - Burglary Alarm,23-03-15-003628,,SECURE/UNKNOWN
1013,03/15/2023 05:54 pm,,Yak?ityutyu - C,PATROL ACTIVITY - Patrol Check,23-03-15-003627,,TURNED OVER TO FACILITY SVS
1014,03/15/2023 05:10 pm,,Yak?ityutyu - B,ALARM - Fire Alarm,23-03-15-003625,,SECURE/UNKNOWN
1015,03/15/2023 04:53 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-15-003624,,False/Cooking related
1016,03/15/2023 02:56 pm,,Hillcrest,CITIZEN ASSIST - Check The Welfare,23-03-15-003616,,COMPLETED- NO REPORT
1017,03/15/2023 02:49 pm,03/14/2023 06:30 pm - 03/15/2023 02:00 pm,Canyon Circle Parking Structure Area,VANDALISM - VANDALISM ($400 OR MORE),,230336,Closed
1018,03/15/2023 02:49 pm,,Canyon Circle Parking Structure Area,VANDALISM - Malicious Mischief report,23-03-15-003615,230336,REPORT TAKEN
1019,03/15/2023 01:50 pm,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003614,,IN SERVICE
1020,03/15/2023 01:26 pm,,Via Carta Road,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-15-003612,,SUBJECT(S) ADVISED/WARNED
1021,03/15/2023 01:09 pm,,H4-a Parking Lot,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-15-003611,,SUBJECT(S) ADVISED/WARNED
1022,03/15/2023 01:01 pm,,Spanos Stadium,PATROL ACTIVITY - Foot Patrol,23-03-15-003610,,COMPLETED- NO REPORT
1023,03/15/2023 12:53 pm,,Pcv Estrella,ALARM - Fire Alarm,23-03-15-003609,,COMPLETED- NO REPORT
1024,03/15/2023 12:31 pm,,Center For Science,ALARM - Fire Alarm,23-03-15-003607,,TURNED OVER TO FACILITY SVS
1025,03/15/2023 12:17 pm,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003606,,IN SERVICE
1026,03/15/2023 12:12 pm,,Alex & Faye Spanos Theatre,ALARM - Fire Alarm,23-03-15-003605,,COMPLETED- NO REPORT
1027,03/15/2023 11:49 am,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-03-15-003600,,COMPLETED- NO REPORT
1028,03/15/2023 11:01 am,,North Perimeter Road,VEHICLE - Vehicle Stop,23-03-15-003599,,CLEARED BY CITATION
1029,03/15/2023 10:50 am,,Safety Way East,VEHICLE - Vehicle Stop,23-03-15-003595,,DRIVER WARNED/ADVISED
1030,03/15/2023 10:33 am,,Tenaya Hall Area,DOCUMENTATION - Bike Impound,23-03-15-003594,230335,REPORT TAKEN
1031,03/15/2023 10:26 am,,North Perimeter Road,TRAFFIC - BICYCLE STOP,23-03-15-003592,,DRIVER WARNED/ADVISED
1032,03/15/2023 08:57 am,,Ytt Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-15-003588,,COMPLETED- NO REPORT
1033,03/15/2023 06:11 am,,Agricultural Sciences,ALARM - Burglary Alarm,23-03-15-003579,,CALLED PRIOR
1034,03/15/2023 03:33 am,,Yak?ityutyu - C,ALARM - Fire Alarm,23-03-15-003576,,False/Cooking related
1035,03/15/2023 02:48 am,,Julian A. Mcphee University Union Area,PATROL ACTIVITY - Patrol Check,23-03-15-003575,,IN SERVICE
1036,03/15/2023 01:59 am,,E. & J. Gallo Winery And Family Building,ALARM - Fire Alarm,23-03-15-003574,,TURNED OVER TO FACILITY SVS
1037,03/15/2023 01:47 am,,Cerro Vista  Hollister,ALARM - Fire Alarm,23-03-15-003573,,False/Cooking related
1038,03/15/2023 01:08 am,,E. & J. Gallo Winery And Family Building,ALARM - Fire Alarm,23-03-15-003571,,TURNED OVER TO FACILITY SVS
1039,03/14/2023 11:35 pm,,Pcv Aliso,ALARM - Fire Alarm,23-03-14-003570,,False/Cooking related
1040,03/14/2023 11:30 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003569,,TURNED OVER TO FACILITY SVS
1041,03/14/2023 11:22 pm,,Yak?ityutyu - D,ALARM - Fire Alarm,23-03-14-003568,,TURNED OVER TO FACILITY SVS
1042,03/14/2023 10:47 pm,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-14-003562,,IN SERVICE
1043,03/14/2023 10:40 pm,,Recreation Center,ALARM - Fire Alarm,23-03-14-003561,,TURNED OVER TO FACILITY SVS
1044,03/14/2023 10:07 pm,,Yak?ityutyu - G,ALARM - Fire Alarm,23-03-14-003560,,TURNED OVER TO ENGINEERING SVS
1045,03/14/2023 09:18 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003559,,False/Cooking related
1046,03/14/2023 08:41 pm,,Yak?ityutyu - D,ALARM - Fire Alarm,23-03-14-003558,,False/Cooking related
1047,03/14/2023 08:21 pm,,Pcv Inyo,ALARM - Fire Alarm,23-03-14-003557,,False/Cooking related
1048,03/14/2023 06:51 pm,,Grand Avenue Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003553,,COMPLETED- NO REPORT
1049,03/14/2023 06:32 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003551,,TURNED OVER TO HOUSING
1050,03/14/2023 06:25 pm,,Cerro Vista  Morro,ALARM - Elevator Emergency/Alarm,23-03-14-003550,,TURNED OVER TO
1051,03/14/2023 05:55 pm,,Grand Avenue Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003549,,COMPLETED- NO REPORT
1052,03/14/2023 04:29 pm,,Ytt Parking Structure,TRAFFIC COLLISION - Traffic Collision/Hit and Run,23-03-14-003545,,COMPLETED- NO REPORT
1053,03/14/2023 04:00 pm,,Pcv Dover,CITIZEN ASSIST - Public Assist (specify),23-03-14-003544,,IN SERVICE
1054,03/14/2023 03:44 pm,,Pcv Dover,ALARM - Fire Alarm,23-03-14-003541,,False/Cooking related
1055,03/14/2023 03:08 pm,,Yak?ityutyu - F,ALARM - Fire Alarm,23-03-14-003538,,False/Cooking related
1056,03/14/2023 03:03 pm,,Cerro Vista  Hollister,FIRE - Smoke Check,23-03-14-003537,,False/Cooking related
1057,03/14/2023 02:59 pm,,Off Campus - Hwy 1/stenner Creek Rd,TRAFFIC COLLISION - Traffic Collision/Unknown Injury,23-03-14-003536,,TURNED OVER TO CHP
1058,03/14/2023 01:30 pm,,Engineering Iv,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-14-003532,,COMPLETED- NO REPORT
1059,03/14/2023 11:25 am,,Pcv Inyo,ALARM - Fire Alarm,23-03-14-003528,,False/Cooking related
1060,03/14/2023 11:23 am,,Engineering South,ALARM - Fire Alarm,23-03-14-003527,,COMPLETED- NO REPORT
1061,03/14/2023 10:04 am,,Performing Arts Center Area,TRAFFIC - Traffic Hazard,23-03-14-003523,,COMPLETED- NO REPORT
1062,03/14/2023 09:54 am,,Cal Poly Pier,ALARM - Equipment Alarm,23-03-14-003522,,COMPLETED- NO REPORT
1063,03/14/2023 08:58 am,,Pcv Estrella,ALARM - Fire Alarm,23-03-14-003518,,COMPLETED- NO REPORT
1064,03/14/2023 08:25 am,,Student Services Center Area,ALARM - Fire Alarm,23-03-14-003517,,COMPLETED- NO REPORT
1065,03/14/2023 07:32 am,,Administration,ALARM - Fire Alarm,23-03-14-003515,,COMPLETED- NO REPORT
1066,03/14/2023 06:03 am,,Julian A. Mcphee University Union,ALARM - Fire Alarm,23-03-14-003512,,CALLED PRIOR
1067,03/14/2023 04:17 am,03/14/2023 04:17 am - 03/14/2023 04:42 am,Fremont Hall,MEDICAL - Medical Aid,,230332,Closed
1068,03/14/2023 04:17 am,,Fremont Hall,MEDICAL - Medical Aid,23-03-14-003511,230332,REPORT TAKEN
1069,03/14/2023 04:12 am,,Anderson Aquatic Center,ALARM - Burglary Alarm,23-03-14-003510,,False/Custodial
1070,03/14/2023 01:27 am,,Pcv Estrella,ALARM - Fire Alarm,23-03-14-003509,,TURNED OVER TO HOUSING
1071,03/14/2023 12:04 am,,Pcv Aliso,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003508,,FIELD INTERVIEW
1072,03/13/2023 11:08 pm,,Frank E Pilling Computer Science,ALARM - Equipment Alarm,23-03-13-003507,,TURNED OVER TO FACILITY SVS
1073,03/13/2023 10:19 pm,,Pcv Inyo,VANDALISM - Malicious Mischief report,23-03-13-003506,,UNFOUNDED
1074,03/13/2023 10:00 pm,,Pcv Estrella,ALARM - Fire Alarm,23-03-13-003505,,False/Cooking related
1075,03/13/2023 09:26 pm,,Poly Canyon Village Area,PATROL ACTIVITY - Patrol Check,23-03-13-003503,,IN SERVICE
1076,03/13/2023 09:13 pm,,Pcv Corralitos,ALARM - Fire Alarm,23-03-13-003502,,False/Cooking related
1077,03/13/2023 08:53 pm,,Engineering Iv,ALARM - Fire Alarm,23-03-13-003501,,TURNED OVER TO FACILITY SVS
1078,03/13/2023 08:48 pm,,Pcv Huasna,ALARM - Fire Alarm,23-03-13-003500,,False/Cooking related
1079,03/13/2023 07:55 pm,,Orfalea Business Building,CITIZEN ASSIST - Escort,23-03-13-003499,,COMPLETED- NO REPORT
1080,03/13/2023 07:39 pm,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-03-13-003498,,IN SERVICE
1081,03/13/2023 06:54 pm,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-13-003494,,COMPLETED- NO REPORT
1082,03/13/2023 04:10 pm,,Frank E Pilling Computer Science,ALARM - Equipment Alarm,23-03-13-003489,,TURNED OVER TO FACILITY SVS
1083,03/13/2023 03:35 pm,,Dexter Lawn,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-13-003486,,SUBJECT(S) ADVISED/WARNED
1084,03/13/2023 02:17 pm,,Off Campus - Austin Texas,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-13-003481,,COMPLETED- NO REPORT
1085,03/13/2023 02:14 pm,,Natatorium,FIRE - Smoke Check,23-03-13-003482,,GONE ON ARRIVAL/UNABLE TO LOCATE
1086,03/13/2023 01:53 pm,,Crops Unit Area,CAMPUS ADMINISTRATIVE POLICY - CAMPUS ADMINIISTRATIVE POLICY VIOLATION,23-03-13-003479,,COMPLETED- NO REPORT
1087,03/13/2023 01:18 pm,,Recreation Center,ALARM - Audible Alarm,23-03-13-003476,,CALLED PRIOR
1088,03/13/2023 01:08 pm,,Pcv Aliso,ALARM - Audible Alarm,23-03-13-003475,,CALLED PRIOR
1089,03/13/2023 12:53 pm,,H-12 Parking Lot,TRAFFIC COLLISION - Traffic Collision/Hit and Run,23-03-13-003474,,COMPLETED- NO REPORT
1090,03/13/2023 11:50 am,,Ytt Parking Structure,PARKING - Parking Violation,23-03-13-003472,,COMPLETED- NO REPORT
1091,03/13/2023 11:30 am,,A-1 Parking Lot,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-13-003470,,COMPLETED- NO REPORT
1092,03/13/2023 11:23 am,,Bonderson Engineering,ANIMAL - Animal Call,23-03-13-003469,,TURNED OVER TO FACILITY SVS
1093,03/13/2023 11:12 am,,Cal Poly Police Department,CITIZEN ASSIST - Citizen Contact,23-03-13-003468,,COMPLETED- NO REPORT
1094,03/13/2023 10:26 am,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-13-003467,,COMPLETED- NO REPORT
1095,03/13/2023 10:13 am,03/13/2023 08:00 am - 03/13/2023 10:00 am,Education Building,MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230331,Closed
1096,03/13/2023 10:13 am,,Education Building,LARCENY-THEFT - Theft Report,23-03-13-003465,230331,REPORT TAKEN
1097,03/13/2023 10:02 am,,Highland Drive,CITIZEN ASSIST - Public Assist (specify),23-03-13-003463,,COMPLETED- NO REPORT
1098,03/13/2023 10:01 am,03/13/2023 08:10 am - 03/13/2023 09:50 am,Orfalea Business Area,LARCENY-THEFT - PETTY THEFT,,230330,Closed
1099,03/13/2023 10:01 am,,Orfalea Business Area,LARCENY-THEFT - Theft Report,23-03-13-003464,230330,REPORT TAKEN
1100,03/13/2023 08:40 am,03/13/2023 08:40 am,Yak?ityutyu - A,MEDICAL - Medical Aid,,230329,Closed
1101,03/13/2023 08:40 am,,Yak?ityutyu - A,MEDICAL - Medical Aid,23-03-13-003459,230329,REPORT TAKEN
1102,03/13/2023 07:40 am,,C-3 Parking Lot,PARKING - Parking Violation,23-03-13-003453,,COMPLETED- NO REPORT
1103,03/13/2023 06:59 am,,Advanced Technology Lab,ALARM - Fire Alarm,23-03-13-003450,,TURNED OVER TO FACILITY SVS
1104,03/12/2023 10:06 pm,,Poly Canyon Village Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003448,,COMPLETED- NO REPORT
1105,03/12/2023 08:54 pm,,Grand Avenue,VEHICLE - Vehicle Stop,23-03-12-003447,,DRIVER WARNED/ADVISED
1106,03/12/2023 08:28 pm,,Pcv Foxen,ALARM - Fire Alarm,23-03-12-003446,,False/Cooking related
1107,03/12/2023 08:22 pm,,Cerro Vista Bishop,VANDALISM - Malicious Mischief in progress,23-03-12-003445,,GONE ON ARRIVAL/UNABLE TO LOCATE
1108,03/12/2023 08:18 pm,03/12/2023 08:18 pm - 03/12/2023 08:24 pm,Yosemite Hall,INJURY - Injury report // DOCUMENTATION - General Incident,,230327,Closed
1109,03/12/2023 08:18 pm,,Yosemite Hall,CITIZEN ASSIST - Check The Welfare,23-03-12-003444,230327,REPORT TAKEN
1110,03/12/2023 07:59 pm,,Yak?ityutyu - C,FOLLOWUP - Followup,23-03-12-003442,,IN SERVICE
1111,03/12/2023 07:50 pm,,Pcv Buena Vista,ALARM - Fire Alarm,23-03-12-003441,,False/Cooking related
1112,03/12/2023 06:57 pm,,Pcv Corralitos,VANDALISM - Malicious Mischief report,23-03-12-003438,,COMPLETED- NO REPORT
1113,03/12/2023 05:56 pm,03/10/2023 10:00 am - 03/11/2023 10:30 pm,Pcv Corralitos,VANDALISM - Vandalism - Less Than $400,,230325,Closed
1114,03/12/2023 05:56 pm,,Pcv Corralitos,VANDALISM - Malicious Mischief report,23-03-12-003437,230325,REPORT TAKEN
1115,03/12/2023 05:52 pm,03/10/2023 10:00 pm - 03/11/2023 10:00 pm,Pcv Buena Vista,VANDALISM - VANDALISM ($400 OR MORE),,230326,Closed
1116,03/12/2023 05:52 pm,,Pcv Buena Vista,VANDALISM - Malicious Mischief report,23-03-12-003436,230326,COMPLETED- NO REPORT
1117,03/12/2023 03:14 pm,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003434,,COMPLETED- NO REPORT
1118,03/12/2023 03:13 pm,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003433,,COMPLETED- NO REPORT
1119,03/12/2023 03:09 pm,03/11/2023 11:00 pm - 03/12/2023 12:30 am,Sequoia Hall,VANDALISM - Vandalism - Less Than $400,,230324,Closed
1120,03/12/2023 03:09 pm,,Sequoia Hall,VANDALISM - Malicious Mischief report,23-03-12-003432,230324,REPORT TAKEN
1121,03/12/2023 02:48 pm,03/08/2023 11:00 am - 03/12/2023 11:00 am,Mathematics And Science Area,MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230323,Closed
1122,03/12/2023 02:45 pm,,Pcv Gypsum,ALARM - Elevator Emergency/Alarm,23-03-12-003431,,COMPLETED- NO REPORT
1123,03/12/2023 02:21 pm,,Cerro Vista Housing,FOLLOWUP - Followup,23-03-12-003430,,REPORT TAKEN
1124,03/12/2023 02:07 pm,,Yak?ityutyu - D,ALARM - Elevator Emergency/Alarm,23-03-12-003429,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
1125,03/12/2023 01:44 pm,,Pcv Huasna,ALARM - Fire Alarm,23-03-12-003428,,False/Cooking related
1126,03/12/2023 11:02 am,,Mathematics And Science Area,LARCENY-THEFT - Theft Report,23-03-12-003427,230323,REPORT TAKEN
1127,03/12/2023 10:14 am,,Pcv Estrella,ALARM - Fire Alarm,23-03-12-003425,,TURNED OVER TO FACILITY SVS
1128,03/12/2023 08:56 am,,Yosemite Hall,ALARM - Fire Alarm,23-03-12-003424,,TURNED OVER TO FACILITY SVS
1129,03/12/2023 03:47 am,03/12/2023 03:47 am - 03/12/2023 04:12 am,Fremont Hall,VANDALISM - Vandalism - Less Than $400,,230322,Closed
1130,03/12/2023 03:47 am,,Fremont Hall,VANDALISM - Malicious Mischief in progress,23-03-12-003421,230322,REPORT TAKEN
1131,03/12/2023 03:39 am,,Tenaya Hall,VANDALISM - Malicious Mischief report,23-03-12-003420,,UNFOUNDED
1132,03/12/2023 01:52 am,03/12/2023 01:52 am - 03/12/2023 03:13 am,Tenaya Hall,MEDICAL - MEDICAL AID - ALCOHOL/DRUG // DOCUMENTATION - OSRR Referral,,230320,Closed
1133,03/12/2023 01:52 am,,Tenaya Hall,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,23-03-12-003419,230320,REPORT TAKEN
1134,03/12/2023 12:39 am,,Walter F. Dexter Building,PATROL ACTIVITY - Patrol Check,23-03-12-003418,,COMPLETED- NO REPORT
1135,03/12/2023 12:35 am,,Yak?ityutyu - E,ALARM - Fire Alarm,23-03-12-003417,,False/Cooking related
1136,03/12/2023 12:31 am,,C-7 Parking Lot,PATROL ACTIVITY - Vehicle Check,23-03-12-003416,,COMPLETED- NO REPORT
1137,03/12/2023 12:13 am,,Yak?ityutyu - F,ALARM - Fire Alarm,23-03-12-003415,,False/Mechanical
1138,03/12/2023 12:04 am,03/11/2023 11:05 pm - 03/11/2023 11:52 pm,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230321,Closed
1139,03/12/2023 12:04 am,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-12-003414,230321,REPORT TAKEN
1140,03/11/2023 11:58 pm,,Off Campus - 247 Chorro St,DISTURBANCE - Disturbance (specify) In Progress,23-03-11-003413,,TURNED OVER TO SLPD
1141,03/11/2023 11:10 pm,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-11-003412,,COMPLETED- NO REPORT
1142,03/11/2023 11:05 pm,,,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-11-003411,,COMPLETED- NO REPORT
1143,03/11/2023 10:36 pm,03/11/2023 10:36 pm - 03/11/2023 10:55 pm,Yosemite Tower 6,DOCUMENTATION - General Incident,,230319,Closed
